Ma,CAT
0,1.15121379
0.026760441,1.151200364
0.056574054,1.151186938
0.078934264,1.151176869
0.098810006,1.151167918
0.103730747,1.138556585
0.108641848,1.123423433
0.135768573,1.070452924
0.15303454,1.037661444
0.170252311,0.992260867
0.182587898,0.969558901
0.199844226,0.934245602
0.212170174,0.909021816
0.226975771,0.882536002
0.23683171,0.861096064
0.251632487,0.833349341
0.263963255,0.809386465
0.28124368,0.780377713
0.305900396,0.731191052
0.323156723,0.695877753
0.335482672,0.670653967
0.350307546,0.649211792
0.360153846,0.625250035
0.374959443,0.598764221
0.38729985,0.577323164
0.404594733,0.552097141
0.424388544,0.530652728
0.446662002,0.507946286
0.476388864,0.485236488
0.5110943,0.465046272
0.56073546,0.4524148
0.588054967,0.449880674
0.630300558,0.452383473
0.677539182,0.461188582
0.71981851,0.472517748
0.757143361,0.487631881
0.819380363,0.520387559
0.859252336,0.551892397
0.894160193,0.584660382
0.919115719,0.613650114
0.939087852,0.638859355
0.969055691,0.679195035
0.994030496,0.713228405
1.021528325,0.757347933
1.051505802,0.800205432
1.076485427,0.835499712
1.108894357,0.864486087
1.14373474,0.879601339
1.198436407,0.890924911
1.248130582,0.892163444
1.312721924,0.890873445
1.369835766,0.883282255
1.424455501,0.873170364
1.481550064,0.860535536
1.543594285,0.842854831
1.590741338,0.827702659
1.650296272,0.808762164
1.694954038,0.792350201
1.744585559,0.77719691
1.78427439,0.760787184
1.843819684,0.73932487
1.885997802,0.724174935
1.92817592,0.709025
1.98028227,0.691348771
2.032393439,0.674933452
2.077060844,0.661043308
2.14653919,0.638315609
2.193691063,0.624424346
2.238368107,0.613056021
2.290484096,0.597901611
2.330197024,0.587796433
2.367425484,0.577692375
2.424520048,0.565057546
2.456789212,0.557477544
2.50891484,0.544844953
2.558560819,0.533474391
2.613180554,0.5233625
2.657862418,0.513255085
2.705033569,0.50440746
