t,Altitude
-0.002946057,0.242519409
29.61435378,1.261206985
46.4298577,3.964273167
58.59766216,6.660268813
73.07164,10.82021908
85.7997845,15.22092113
96.20407926,19.61808791
104.2963085,23.03810651
111.8016832,26.94404775
120.4542525,32.06877275
127.944897,37.19173012
136.5797899,43.77687448
142.327547,48.8971804
151.5257261,56.94362794
157.2705371,62.30733708
163.5992567,67.42852682
169.9220842,73.036523
175.6698413,78.15682892
182.004453,82.79121221
189.4833132,88.88778248
197.5460819,94.74183335
207.3428997,101.3287453
215.9836847,107.4270832
226.364411,113.7714758
237.9070622,120.1176361
250.6116383,126.4655639
261.5910033,131.350421
276.0443588,137.2141938
290.4977142,143.0779667
301.4918096,146.7458076
311.9049425,150.4127647
322.3239676,153.5929153
332.1620302,156.7721822
343.1620177,159.9532166
353.5869348,162.6465608
365.1737769,165.3416726
378.5005601,168.2828391
389.5123318,170.4902607
401.108012,172.4551629
419.0824948,175.4033999
437.0687617,177.378024
450.9971298,178.6162518
464.9196058,180.341286
480.5879151,181.8255684
496.2621166,182.8230444
510.1904847,184.0612721
521.8038412,184.5657549
536.9000263,185.3189438
551.4123029,186.3146521
565.3495092,186.8226702
578.1188984,187.8157271
593.7901538,189.0566063
612.3750596,189.5716949
632.1218902,190.0885511
644.9001176,190.3513983
659.4182863,190.8603002
677.4281217,190.8876985
694.8569947,190.914213
702.9904688,190.9265865
